Role,Index,Pose Index,Structure,Protein,MW(Molecular Weight) Unit Dalton,#Atoms,SlogP,TPSA,Flexibility,#RB,LF Rank Score,LF dG,LF VSscore,LF LE,tPSA,Hacc,Hdon,logSw,Library,MW_FREE
chembridge-fragment-library-part1-exp-2024-06,6338,1,Fc1c(F)c(N2C(=O)c3ccccc3C2=O)c(F)c(F)n1,6TBE_P,296.2,21,3.5,50.3,0.3,1,-5.074,-5.23,-5.755,-0.249,5.03E+01,3,0,-3.39E+00,ExpressPick,2.96E+02
chembridge-fragment-library-part1-exp-2024-06,12612,1,FC(F)C=1C[C@](O)(N(N1)C(=O)c2ccccc2)C(C)(C)C,6TBE_P,296.3,21,3.3,52.9,2.5,5,-5.074,-6.931,-7.377,-0.33,5.29E+01,3,1,-3.68E+00,ExpressPick,2.96E+02
chembridge-fragment-library-part1-exp-2024-06,14120,1,Fc1cc(C(=O)CC)ccc1N2CCN(CC2)C(=O)CC,6TBE_P,292.4,21,2.7,40.6,3.7,5,-5.074,-5.69,-6.684,-0.271,4.06E+01,2,0,-1.93E+00,ExpressPick,2.92E+02
chembridge-fragment-library-part1-exp-2024-06,22140,1,Clc1cccc(F)c1C(=O)NC2CCN(CC2)C,6TBE_P,270.7,18,2.6,32.3,2.2,2,-5.073,-6.19,-6.586,-0.344,3.23E+01,2,1,-1.86E+00,ExpressPick,2.71E+02
chembridge-fragment-library-part2-cl-2024-06,8298,1,FC1(F)C[C@@H]1CC(=O)NC2Cc3ccccc3C2,6TBE_P,251.3,18,2.3,29.1,3.2,3,-5.073,-5.477,-6.185,-0.304,2.91E+01,1,1,-2.90E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,652,1,NCCc1nc(C)cs1,6TBE_P,142.2,9,1,38.9,3,3,-5.072,-4.826,-5.37,-0.536,3.89E+01,2,1,5.33E-01,ExpressPick,1.42E+02
chembridge-fragment-library-part1-exp-2024-06,10216,1,Fc1c(F)ccc(CN2CCC[C@H]2C(OC)=O)c1,6TBE_P,255.3,18,2.6,29.5,3.5,3,-5.072,-5.64,-6.781,-0.313,2.95E+01,3,0,-2.43E+00,ExpressPick,2.55E+02
chembridge-fragment-library-part1-exp-2024-06,18052,1,O=C(Nc1ccc(cc1)C(O)=O)CC,6TBE_P,193.2,14,1.7,66.4,1.8,4,-5.072,-4.644,-5.66,-0.332,6.64E+01,3,2,-2.08E+00,ExpressPick,1.93E+02
chembridge-fragment-library-part1-exp-2024-06,18342,1,FC(F)(F)c1nnc(s1)NC(=O)Cc2cccs2,6TBE_P,293.3,18,2.8,54.9,2.3,4,-5.072,-6.387,-7.17,-0.355,5.49E+01,3,1,-2.71E+00,ExpressPick,2.93E+02
chembridge-fragment-library-part1-exp-2024-06,20500,1,S=C(NC1CCCC1)NCc2ccncc2,6TBE_P,235.3,16,2,37,4,5,-5.072,-5.268,-5.753,-0.329,3.70E+01,1,2,2.72E-01,ExpressPick,2.35E+02
chembridge-fragment-library-part2-cl-2024-06,2648,1,F[C@@H]1CN(C[C@H]1O)C(=O)c2ccc(-n3cncc3)cc2,6TBE_P,275.3,20,1.4,58.4,2.3,4,-5.072,-4.952,-5.825,-0.248,5.84E+01,3,1,-1.76E+00,1101,CORE
chembridge-fragment-library-part2-cl-2024-06,5312,1,Fc1ccc(-c2c(CN3C[C@@H]4C[C@H]3C(=O)N4)c[nH]n2)cc1,6TBE_P,286.3,21,1.6,61,2.6,3,-5.072,-5.26,-6.177,-0.25,6.10E+01,3,2,-2.24E+00,1104,CORE
chembridge-fragment-library-part1-exp-2024-06,1968,1,Fc1ccc(N2CC(=O)CC2)cc1,6TBE_P,179.2,13,1.9,20.3,0.6,1,-5.071,-4.396,-5.16,-0.338,2.03E+01,1,0,-1.53E+00,ExpressPick,1.79E+02
chembridge-fragment-library-part1-exp-2024-06,7368,1,FC(F)(F)c1cccc(NC(=O)CN)c1,6TBE_P,218.2,15,1.6,55.1,2.3,4,-5.071,-5.222,-6.572,-0.348,5.51E+01,2,2,-2.14E+00,ExpressPick,2.18E+02
chembridge-fragment-library-part1-exp-2024-06,18734,1,Brc1ccc(NC(=O)/C=C/C(O)=O)c(F)c1,6TBE_P,288.1,16,2.4,66.4,1,4,-5.071,-6.128,-7.017,-0.383,6.64E+01,3,2,-2.78E+00,ExpressPick,2.88E+02
chembridge-fragment-library-part2-cl-2024-06,2608,1,O1CCOc2ccc(-c3cnc4cnccn43)cc21,6TBE_P,253.3,19,2.2,48.7,1,1,-5.071,-5.423,-6.418,-0.285,4.86E+01,4,0,-1.83E+00,1109,CORE
chembridge-fragment-library-part2-cl-2024-06,6535,1,F[C@@H]1CN(C[C@H]1O)C(=O)CCc2cn[nH]c2,6TBE_P,227.2,16,0.3,69.2,4.8,5,-5.071,-4.961,-5.682,-0.31,6.92E+01,3,2,-1.28E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,9322,1,S=C(N1CCOCC1)Cc2ccc(OC)c(OC)c2,6TBE_P,281.4,19,1.9,30.9,4.2,5,-5.07,-4.895,-5.715,-0.258,3.09E+01,3,0,-2.43E+00,ExpressPick,2.81E+02
chembridge-fragment-library-part1-exp-2024-06,14594,1,Fc1ccc(C=2C(N(O)[C@@H]([N+]2[O-])C)(C)C)cc1,6TBE_P,238.3,17,2.2,49.5,1,2,-5.07,-4.605,-5.438,-0.271,4.95E+01,2,0,-2.46E+00,ExpressPick,2.38E+02
chembridge-fragment-library-part2-cl-2024-06,776,1,O=C(NCCc1nccs1)c2c(nsn2)C,6TBE_P,254.3,16,1.3,67.8,3.3,4,-5.07,-6.428,-6.533,-0.402,6.78E+01,4,1,-3.02E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,5138,1,OC(=O)c1c2CNCCc2n(n1)CC,6TBE_P,195.2,14,0.2,67.1,2,3,-5.069,-5.3,-5.63,-0.379,6.72E+01,4,2,7.09E-01,ExpressPick,1.95E+02
chembridge-fragment-library-part1-exp-2024-06,17444,1,S=C(N1CCOCC1)Nc2c(OC)ccc(OC)c2,6TBE_P,282.4,19,1.7,43,2.7,5,-5.069,-6.169,-6.497,-0.325,4.30E+01,3,1,-1.63E+00,ExpressPick,2.82E+02
chembridge-fragment-library-part1-exp-2024-06,20232,1,S=C(Nc1ccc(OC)cc1)Nc2cccc(F)c2,6TBE_P,276.3,19,3.9,33.3,1.5,5,-5.069,-5.471,-6.415,-0.288,3.33E+01,1,2,-4.20E+00,ExpressPick,2.76E+02
chembridge-fragment-library-part1-exp-2024-06,21684,1,Fc1ccc(NC(=O)CN2CCCC2)cc1,6TBE_P,222.3,16,2.1,32.3,2.8,3,-5.069,-5.226,-6.332,-0.327,3.23E+01,2,1,-2.83E+00,ExpressPick,2.22E+02
chembridge-fragment-library-part1-exp-2024-06,22530,1,Brc1cc(F)ccc1NC(=O)[C@@]23CC[C@@](C2(C)C)(C(O3)=O)C,6TBE_P,370.2,22,4,55.4,1.9,2,-5.069,-5.83,-6.757,-0.265,5.54E+01,3,1,-4.14E+00,ExpressPick,3.70E+02
chembridge-fragment-library-part1-exp-2024-06,27464,1,O=S(=O)(N1CCC(CC1)C(=O)N)Cc2ccc(cc2)C,6TBE_P,296.4,20,1,80.5,5,4,-5.069,-6.189,-6.831,-0.309,8.05E+01,3,1,-1.75E+00,ExpressPick,2.96E+02
chembridge-fragment-library-part2-cl-2024-06,8522,1,OC[C@H](n1ccnc1-c2ccc(O)c(c2)C)C,6TBE_P,232.3,17,2.5,58.3,3.5,5,-5.069,-4.544,-5.999,-0.267,5.83E+01,3,2,-1.55E+00,1105,CORE
chembridge-fragment-library-part1-exp-2024-06,7764,1,OCCNc1c2c(sc(c2C)C)ncn1,6TBE_P,223.3,15,2.1,58,3.3,4,-5.068,-5.047,-5.833,-0.336,5.80E+01,3,2,-2.39E+00,ExpressPick,2.23E+02
chembridge-fragment-library-part1-exp-2024-06,8278,1,OC1CCN(CC1)Cc2ccc(SC)cc2,6TBE_P,237.4,16,2.7,23.5,5,4,-5.068,-5.865,-6.102,-0.367,2.35E+01,2,1,-1.33E+00,ExpressPick,2.37E+02
chembridge-fragment-library-part1-exp-2024-06,14340,1,Fc1ccccc1C(=O)Nc2nnc(SCCC)s2,6TBE_P,297.4,19,3.7,54.9,3.5,5,-5.068,-7.657,-7.944,-0.403,5.49E+01,3,1,-3.34E+00,ExpressPick,2.97E+02
chembridge-fragment-library-part1-exp-2024-06,26490,1,FC(F)(F)c1nc2cc(N)ccc2n1CCCO,6TBE_P,259.2,18,2.4,64.1,4,5,-5.068,-4.055,-5.76,-0.225,6.41E+01,2,2,-2.24E+00,ExpressPick,2.59E+02
chembridge-fragment-library-part1-exp-2024-06,12850,1,FC(F)(F)c1cc(n(n1)CC(=O)N(c2ccccc2)C)C,6TBE_P,297.3,21,2.9,38.1,2.5,5,-5.067,-5.188,-6.151,-0.247,3.81E+01,2,0,-3.58E+00,ExpressPick,2.97E+02
chembridge-fragment-library-part1-exp-2024-06,14740,1,S=C(N1Cc2ccccc2CC1)NCC,6TBE_P,220.3,15,1.9,15.3,2,3,-5.067,-4.513,-5.276,-0.301,1.53E+01,0,1,-2.34E+00,ExpressPick,2.20E+02
chembridge-fragment-library-part1-exp-2024-06,27160,1,FC(F)(F)c1ccccc1C(=O)NC[C@@H]2CCCO2,6TBE_P,273.3,19,2.6,38.3,2.8,4,-5.067,-5.744,-6.568,-0.302,3.83E+01,2,1,-2.50E+00,ExpressPick,2.73E+02
chembridge-fragment-library-part2-cl-2024-06,5982,1,O[C@@H]1COC[C@@H]1NC(=O)c2cc(ncc2OC)C,6TBE_P,252.3,18,0.3,80.7,3.3,4,-5.067,-4.419,-6.722,-0.245,8.07E+01,5,2,-1.84E+00,1101,CORE
chembridge-fragment-library-part2-cl-2024-06,8766,1,FC(F)(F)[C@H](NC(=O)Cn1nc2ccccc2n1)C,6TBE_P,272.2,19,1.5,59.8,3,4,-5.067,-5.143,-6.274,-0.271,5.98E+01,3,1,-3.20E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,29002,1,Brc1c(cc(c(S(=O)(=O)NCCO)c1)C)C,6TBE_P,308.2,16,1.8,66.4,4.5,5,-5.066,-6.529,-6.819,-0.408,6.64E+01,3,2,-3.51E+00,ExpressPick,3.08E+02
chembridge-fragment-library-part1-exp-2024-06,16424,1,Brc1ccc(NC(=O)COC)c(F)c1,6TBE_P,262.1,14,2.5,38.3,2.3,3,-5.065,-5.604,-6.251,-0.4,3.83E+01,2,1,-2.44E+00,ExpressPick,2.62E+02
chembridge-fragment-library-part1-exp-2024-06,22938,1,Brc1cnc2cc(nn2c1)C(=O)Nc3ccccc3CC,6TBE_P,345.2,21,3.4,59.3,1.5,3,-5.065,-6.098,-7.135,-0.29,5.93E+01,3,1,-4.26E+00,ExpressPick,3.45E+02
chembridge-fragment-library-part1-exp-2024-06,12728,1,Brc1c(sc(c1)/C=N/NC(=O)N)C,6TBE_P,262.1,13,1.9,67.5,1,3,-5.064,-5.56,-8.897,-0.428,6.75E+01,2,2,-3.10E+00,ExpressPick,2.62E+02
chembridge-fragment-library-part1-exp-2024-06,14540,1,Fc1ccc(cc1)CSc2nncn2C,6TBE_P,223.3,15,2.5,30.7,3,3,-5.064,-5.376,-6.039,-0.358,3.07E+01,3,0,-1.70E+00,ExpressPick,2.23E+02
chembridge-fragment-library-part1-exp-2024-06,18452,1,S=C(N1C[C@@H](O[C@@H](C1)C)C)Nc2ccccc2F,6TBE_P,268.3,18,2.9,24.5,1.7,3,-5.064,-6.699,-6.849,-0.372,2.45E+01,1,1,-2.52E+00,ExpressPick,2.68E+02
chembridge-fragment-library-part1-exp-2024-06,26452,1,CNC[C@H]1c2ccsc2[C@@H]3CCCC[C@@H]3O1,6TBE_P,237.4,16,3.1,21.3,3.3,2,-5.064,-7.187,-7.313,-0.449,2.13E+01,2,1,-2.32E+00,ExpressPick,2.37E+02
chembridge-fragment-library-part1-exp-2024-06,2316,1,NCc1nc(C(C)(C)C)cs1,6TBE_P,170.3,11,1.9,38.9,2,3,-5.063,-5.234,-5.782,-0.476,3.89E+01,2,1,-5.15E-01,ExpressPick,1.70E+02
chembridge-fragment-library-part1-exp-2024-06,3508,1,O=C(Nc1nccs1)CN,6TBE_P,157.2,10,0,68,2.3,3,-5.063,-5.328,-6.03,-0.533,6.80E+01,3,2,-1.22E+00,ExpressPick,1.57E+02
chembridge-fragment-library-part1-exp-2024-06,9428,1,Fc1cc(F)ccc1NC(=O)c2cc(OC)cc(OC)c2,6TBE_P,293.3,21,3.8,47.6,1.5,4,-5.063,-4.963,-6.736,-0.236,4.76E+01,3,1,-3.68E+00,ExpressPick,2.93E+02
chembridge-fragment-library-part1-exp-2024-06,15960,1,S=C(N1CCOCC1)Nc2ccc(F)cc2,6TBE_P,240.3,16,2.1,24.5,1.7,3,-5.063,-6.337,-6.858,-0.396,2.45E+01,1,1,-1.43E+00,ExpressPick,2.40E+02
chembridge-fragment-library-part1-exp-2024-06,18632,1,Fc1ccc(NC(=O)c2ccoc2C)cc1,6TBE_P,219.2,16,2.7,42.2,0.5,2,-5.063,-3.541,-5.227,-0.221,4.22E+01,2,1,-3.10E+00,ExpressPick,2.19E+02
chembridge-fragment-library-part2-cl-2024-06,74,1,OCC1(NC(=O)C[C@@H]2CCCCN2C)CC=CC1,6TBE_P,252.4,18,1.3,52.6,6,5,-5.063,-6.314,-6.731,-0.351,5.26E+01,3,2,-2.61E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,6232,1,OC(=O)c1cn2ccccc2n1,6TBE_P,162.1,12,1,54.6,0.5,2,-5.061,-4.175,-5.036,-0.348,5.46E+01,3,1,-1.79E+00,ExpressPick,1.62E+02
chembridge-fragment-library-part1-exp-2024-06,15398,1,Clc1cc(ccc1NC(=O)C(F)F)C,6TBE_P,219.6,14,2.9,29.1,1.3,2,-5.061,-5.305,-5.642,-0.379,2.91E+01,1,1,-2.70E+00,ExpressPick,2.20E+02
chembridge-fragment-library-part1-exp-2024-06,15718,1,Fc1ccc(NC(=O)CN2CCN(CC2)C)cc1,6TBE_P,251.3,18,1.3,35.6,3.2,3,-5.061,-5.388,-6.25,-0.299,3.80E+01,1,3,-2.40E+00,ExpressPick,2.51E+02
chembridge-fragment-library-part1-exp-2024-06,16354,1,FC(F)C1=CC(=O)c2ccc(cc2O1)C,6TBE_P,210.2,15,2.6,26.3,1,1,-5.061,-4.632,-5.296,-0.309,3.02E+01,2,0,-2.50E+00,ExpressPick,2.10E+02
chembridge-fragment-library-part2-cl-2024-06,4880,1,Cc1c(C)cnnc1-c2ccc3c(OCCO3)c2,6TBE_P,242.3,18,2.5,44.2,0.6,1,-5.061,-5.761,-6.69,-0.32,4.42E+01,4,0,-2.22E+00,1109,CORE
chembridge-fragment-library-part1-exp-2024-06,7914,1,OC12CC3C[C@@H](C4(NC(=O)[C@H](S4)C)[C@H](C2)C3)C1,6TBE_P,253.4,17,1.9,49.3,3.2,1,-5.058,-6.954,-7.044,-0.409,4.93E+01,2,2,-1.36E+00,ExpressPick,2.53E+02
chembridge-fragment-library-part1-exp-2024-06,11926,1,S=C(NC1CCCC1)Nc2ccccc2,6TBE_P,220.3,15,2.9,24.1,2.3,4,-5.058,-5.143,-5.711,-0.343,2.41E+01,0,2,-1.81E+00,ExpressPick,2.20E+02
chembridge-fragment-library-part1-exp-2024-06,21588,1,Brc1ccccc1NC(=S)NC(=O)C2CCC2,6TBE_P,313.2,17,3.1,41.1,1.8,4,-5.058,-6.565,-6.753,-0.386,4.11E+01,1,2,-3.59E+00,ExpressPick,3.13E+02
chembridge-fragment-library-part1-exp-2024-06,5146,1,OC(=O)c1c2CNCCc2n(n1)C,6TBE_P,181.2,13,-0.2,67.1,1,2,-5.057,-4.701,-5.208,-0.362,6.72E+01,4,2,7.42E-01,ExpressPick,1.81E+02
chembridge-fragment-library-part1-exp-2024-06,19170,1,O=S(=O)(NCCCN)c1ccc(cc1)C,6TBE_P,228.3,15,0.6,72.2,5.5,6,-5.057,-5.928,-6.263,-0.395,7.22E+01,4,2,-6.22E-01,ExpressPick,2.28E+02
chembridge-fragment-library-part1-exp-2024-06,25092,1,CNCCSc1ccc(cc1)C,6TBE_P,181.3,12,2.3,12,4,4,-5.057,-4.983,-5.563,-0.415,1.20E+01,1,1,-1.76E+00,ExpressPick,1.81E+02
chembridge-fragment-library-part1-exp-2024-06,25202,1,Brc1ccc2c([C@]3(NC(=O)c4ccccc4N3)C(=O)N2)c1,6TBE_P,344.2,21,2.5,70.2,0.3,0,-5.057,-5.844,-9.109,-0.278,7.02E+01,2,3,-3.71E+00,ExpressPick,3.44E+02
chembridge-fragment-library-part2-cl-2024-06,5646,1,O[C@]1(CN(CC1)C(=O)CC2=CCCC2)CN(C)C,6TBE_P,252.4,18,1.3,43.8,5.8,6,-5.057,-5.958,-6.234,-0.331,4.38E+01,3,1,-1.55E+00,1101,CORE
chembridge-fragment-library-part2-cl-2024-06,7619,1,FC(F)(F)[C@@H](NC(=O)c1cn(cn1)C)c2ccccn2,6TBE_P,284.2,20,1.8,59.8,2.3,4,-5.057,-4.994,-5.795,-0.25,5.98E+01,3,1,-1.02E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,1030,1,N[C@@H](CC)c1nccs1,6TBE_P,142.2,9,1.6,38.9,3,3,-5.056,-4.861,-5.367,-0.54,3.89E+01,2,1,5.33E-01,ExpressPick,1.42E+02
chembridge-fragment-library-part1-exp-2024-06,10912,1,OC1CCN(C2C3CC4CC(C3)CC2C4)CC1,6TBE_P,235.4,17,2.6,23.5,4,2,-5.056,-6.547,-6.792,-0.385,2.35E+01,2,1,-1.35E+00,ExpressPick,2.35E+02
chembridge-fragment-library-part1-exp-2024-06,26382,1,O=S(=O)(Nc1cc(ccc1C)C(=O)NC)C,6TBE_P,242.3,16,0.7,75.3,1,3,-5.056,-5.317,-6.102,-0.332,7.53E+01,3,2,-2.14E+00,ExpressPick,2.42E+02
chembridge-fragment-library-part1-exp-2024-06,4626,1,Nc1nc2ccc(OC)cc2s1,6TBE_P,180.2,12,1.9,48.1,0.5,1,-5.055,-5.145,-5.483,-0.429,4.81E+01,2,1,-2.33E+00,ExpressPick,1.80E+02
chembridge-fragment-library-part1-exp-2024-06,9940,1,O=S(=O)(N1CCCCC1)c2ccc(N)cc2,6TBE_P,240.3,16,1.4,63.4,3,2,-5.055,-4.705,-5.478,-0.294,6.34E+01,3,1,-2.49E+00,ExpressPick,2.40E+02
chembridge-fragment-library-part1-exp-2024-06,26182,1,O=S(=O)(N([C@H](C(=O)NC)C)c1c(C)ccc(c1)C)C,6TBE_P,284.4,19,1.2,66.5,3.3,4,-5.055,-5.277,-5.993,-0.278,6.65E+01,3,1,-2.40E+00,ExpressPick,2.84E+02
chembridge-fragment-library-part2-cl-2024-06,4904,1,OC[C@H](n1ccnc1-c2ccco2)C,6TBE_P,192.2,14,1.5,51.2,3.1,4,-5.055,-4.262,-5.304,-0.304,5.12E+01,3,1,-7.23E-01,1105,CORE
chembridge-fragment-library-part1-exp-2024-06,6454,1,O=S(c1cscc1)c2cscc2,6TBE_P,214.3,12,3,17.1,2,2,-5.054,-5.938,-5.762,-0.495,1.71E+01,1,0,-2.16E+00,ExpressPick,2.14E+02
chembridge-fragment-library-part1-exp-2024-06,16308,1,S=C1[C@@H](C2(CCCCC2)C(=C(N1)N)C#N)C(=O)N,6TBE_P,264.3,18,0.7,104.9,2.4,1,-5.054,-7.044,-7.449,-0.391,1.05E+02,2,3,-2.31E+00,ExpressPick,2.64E+02
chembridge-fragment-library-part1-exp-2024-06,17324,1,Fc1cccc(NC(=O)C(=O)NC(C)C)c1,6TBE_P,224.2,16,1.6,58.2,1.5,3,-5.053,-5.481,-6.638,-0.343,5.82E+01,2,2,-2.12E+00,ExpressPick,2.24E+02
chembridge-fragment-library-part1-exp-2024-06,18336,1,S=C(N1CCN(CC1)c2ccccc2OC)NC,6TBE_P,265.4,18,1.3,27.7,2.2,4,-5.053,-6.669,-6.893,-0.371,2.77E+01,1,1,-1.95E+00,ExpressPick,2.65E+02
chembridge-fragment-library-part1-exp-2024-06,19928,1,S=C(N1CCC(CC1)C(=O)N)Nc2ccccc2OC,6TBE_P,293.4,20,1.6,67.6,3.2,5,-5.053,-6.244,-6.896,-0.312,6.76E+01,2,2,-2.20E+00,ExpressPick,2.93E+02
chembridge-fragment-library-part1-exp-2024-06,8628,1,Fc1c(F)ccc(CN2CCC(CC2)C(OCC)=O)c1,6TBE_P,283.3,20,3.3,29.5,5,4,-5.052,-6.126,-7.382,-0.306,2.95E+01,3,0,-2.62E+00,ExpressPick,2.83E+02
chembridge-fragment-library-part1-exp-2024-06,11574,1,FC(F)C1=CC(=O)c2ccccc2O1,6TBE_P,196.2,14,2.3,26.3,1,1,-5.052,-4.521,-5.571,-0.323,3.02E+01,2,0,-1.97E+00,ExpressPick,1.96E+02
chembridge-fragment-library-part1-exp-2024-06,13368,1,Fc1ccc(-c2csc(n2)N)cc1,6TBE_P,194.2,13,2.8,38.9,0,1,-5.052,-5.267,-5.857,-0.405,3.89E+01,1,1,-2.72E+00,ExpressPick,1.94E+02
chembridge-fragment-library-part1-exp-2024-06,20668,1,Fc1ccc(NC(=O)N2CCC3(OCCO3)CC2)cc1,6TBE_P,280.3,20,2.5,50.8,2.2,3,-5.052,-5.143,-6.033,-0.257,5.08E+01,3,1,-1.95E+00,ExpressPick,2.80E+02
chembridge-fragment-library-part2-cl-2024-06,8460,1,Fc1c(ccc(CC(=O)N2CCN3CC[C@@H]2C3)c1)C,6TBE_P,262.3,19,1.9,23.5,3.4,3,-5.052,-5.753,-6.778,-0.303,2.36E+01,2,0,-2.98E+00,1101,CORE
chembridge-fragment-library-part2-cl-2024-06,8480,1,O[C@H]1C[C@H]2CN(C[C@@H]12)C(=O)CCCc3cn[nH]c3,6TBE_P,249.3,18,1,69.2,6.7,6,-5.052,-5.466,-6.029,-0.304,6.92E+01,3,2,-1.92E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,12128,1,FC(F)C1=CC(=O)c2cc(OC)ccc2O1,6TBE_P,226.2,16,2.3,35.5,1.5,2,-5.051,-3.742,-5.422,-0.234,3.94E+01,3,0,-2.29E+00,ExpressPick,2.26E+02
chembridge-fragment-library-part1-exp-2024-06,16018,1,S=C(N1CCOCC1)Nc2ccc([N+]([O-])=O)cc2,6TBE_P,267.3,18,1.5,70.3,2,4,-5.051,-4.873,-5.643,-0.271,6.76E+01,3,1,-1.68E+00,ExpressPick,2.67E+02
chembridge-fragment-library-part1-exp-2024-06,6006,1,NCCc1c(ncs1)C,6TBE_P,142.2,9,1,38.9,3,3,-5.05,-5.475,-5.811,-0.608,3.89E+01,2,1,-3.34E-01,ExpressPick,1.42E+02
chembridge-fragment-library-part1-exp-2024-06,7652,1,FC(F)(C=1C(=O)Nc2ccccc2N1)C(F)(F)F,6TBE_P,264.2,18,2.9,41.5,1,2,-5.05,-3.944,-5.647,-0.219,4.58E+01,2,1,-2.45E+00,ExpressPick,2.64E+02
chembridge-fragment-library-part1-exp-2024-06,13914,1,Fc1ccccc1C(=O)N2CCNCC2,6TBE_P,208.2,15,1.1,32.3,1.5,2,-5.05,-4.638,-5.595,-0.309,3.23E+01,2,1,-1.55E+00,ExpressPick,2.08E+02
chembridge-fragment-library-part1-exp-2024-06,21162,1,S=C(NNC(=O)c1ccccc1OCCC)N,6TBE_P,253.3,17,1,76.4,4,6,-5.05,-5.246,-5.908,-0.309,7.64E+01,2,3,-1.74E+00,ExpressPick,2.53E+02
chembridge-fragment-library-part1-exp-2024-06,21688,1,FC(F)(F)c1ccc(N2CCN(CC2)C)c(N)c1,6TBE_P,259.3,18,2,32.5,1.2,2,-5.05,-4.183,-5.706,-0.232,3.25E+01,1,1,-1.59E+00,ExpressPick,2.59E+02
chembridge-fragment-library-part1-exp-2024-06,23334,1,Brc1cccc(NC(=O)CC=2c3ccccc3C(=O)N(N2)C)c1,6TBE_P,372.2,23,3.3,61.8,2.3,3,-5.05,-6.158,-7.826,-0.268,6.40E+01,3,1,-3.87E+00,ExpressPick,3.72E+02
chembridge-fragment-library-part2-cl-2024-06,6020,1,Fc1cccc(C(=O)NC2(CCCC2)C(=O)N)c1O,6TBE_P,266.3,19,1.3,92.4,3.3,4,-5.05,-6.131,-7.203,-0.323,9.24E+01,3,3,-1.71E+00,1101,CORE
chembridge-fragment-library-part2-cl-2024-06,6965,1,Fc1ccc(F)c(-c2nccn2C[C@@H](O)C)c1,6TBE_P,238.2,17,3.1,38,3,4,-5.05,-6.193,-7.118,-0.364,3.81E+01,2,1,-2.05E+00,1105,CORE
chembridge-fragment-library-part1-exp-2024-06,8386,1,COc1cc(OC)ccc1CN2CCSCC2,6TBE_P,253.4,17,2.3,21.7,4,4,-5.049,-5.13,-5.741,-0.302,2.17E+01,3,0,-2.29E+00,ExpressPick,2.53E+02
chembridge-fragment-library-part1-exp-2024-06,9184,1,Fc1ccc(S(=O)(=O)Nc2ccc(cn2)C)cc1,6TBE_P,266.3,18,2.6,59.1,1.8,3,-5.049,-4.391,-5.692,-0.244,5.91E+01,3,1,-3.23E+00,ExpressPick,2.66E+02
chembridge-fragment-library-part1-exp-2024-06,11216,1,CCN1CCC(Nc2ccc(SC)cc2)CC1,6TBE_P,250.4,17,3.3,15.3,4.2,4,-5.049,-6.217,-6.573,-0.366,1.53E+01,1,1,-2.41E+00,ExpressPick,2.50E+02
chembridge-fragment-library-part1-exp-2024-06,20144,1,O=C1C([C@@H](Nc2ccc(cc2)C)C#N)=C(NC(=O)N1)C,6TBE_P,270.3,20,1.4,94,2.3,3,-5.049,-5.035,-11.564,-0.252,1.02E+02,3,3,-2.30E+00,ExpressPick,2.70E+02
chembridge-fragment-library-part1-exp-2024-06,22914,1,Fc1cc(F)ccc1C(=O)Nc2c(cccc2C)C,6TBE_P,261.3,19,4.4,29.1,0.5,2,-5.049,-5.333,-6.259,-0.281,2.91E+01,1,1,-3.24E+00,ExpressPick,2.61E+02
chembridge-fragment-library-part1-exp-2024-06,27612,1,O=C(N1CCc2c(C1)c(c(s2)N)C(OCC)=O)C,6TBE_P,268.3,18,1.4,72.6,2,3,-5.049,-5.863,-6.414,-0.326,7.26E+01,3,1,-1.92E+00,ExpressPick,2.68E+02
chembridge-fragment-library-part2-cl-2024-06,924,1,OCCCn1ccnc1-c2cccc(c2)C,6TBE_P,216.3,16,2.6,38,4,5,-5.049,-5.143,-5.605,-0.321,3.81E+01,2,1,-2.10E+00,1105,CORE
chembridge-fragment-library-part1-exp-2024-06,3132,1,OC(=O)C[C@@H](n1cccn1)C,6TBE_P,154.2,11,0.9,55.1,3.3,4,-5.048,-3.842,-4.702,-0.349,5.51E+01,3,1,-5.06E-01,ExpressPick,1.54E+02
chembridge-fragment-library-part1-exp-2024-06,14610,1,S=C(N1CCOCC1)c2ccc(o2)-c3ccc(F)cc3,6TBE_P,291.3,20,2.8,25.6,1.5,3,-5.048,-5.483,-6.456,-0.274,2.56E+01,2,0,-2.76E+00,ExpressPick,2.91E+02
chembridge-fragment-library-part1-exp-2024-06,24970,1,CNCCSc1ccccc1,6TBE_P,167.3,11,2,12,4,4,-5.048,-4.506,-5.178,-0.41,1.20E+01,1,1,-1.19E+00,ExpressPick,1.67E+02
chembridge-fragment-library-part1-exp-2024-06,25222,1,Brc1ccc(CS(=O)(=O)N2CCCC2)cc1,6TBE_P,304.2,16,2.4,37.4,3.5,3,-5.048,-5.812,-6.017,-0.363,3.74E+01,3,0,-3.72E+00,ExpressPick,3.04E+02
